公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
10ww9gpk,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),半導體製造業,高科技/半導體業,7131人,659億
1a2x6bl1ph,台灣藍海智能系統有限公司,IC設計相關業,半導體製造 / IC設計相關業,暫不提供,暫不提供
1a2x6bleb0,美商美國深知行科技股份有限公司台灣辦事處,網際網路相關業,網際網路相關業,暫不提供,暫不提供
bjl4o88,瑞嘉軟體科技股份有限公司,電腦軟體服務業,開發及維護大型跨國網站,200人,暫不提供
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
aexwm9k,瑞昱半導體股份有限公司,半導體製造業,積體電路產品研發設計 (IC Design),4000人,51億1萬元
1a2x6bl8e6,英屬維京群島商耐思財富投資有限公司台灣分公司,電腦軟體服務業,開發及維護大型跨國網站,暫不提供,暫不提供
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
12nopku0,聯詠科技股份有限公司,半導體製造業,半導體相關業,2300人,60億1982萬元
1a2x6bi3xl,長川資訊股份有限公司,電腦軟體服務業,跨國旅遊電商平台研發 + 醫療人工智慧應用,13人,2900萬元
12nopku0,聯詠科技股份有限公司,半導體製造業,半導體相關業,2300人,60億1982萬元
1a2x6bl7y5,圖策科技股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1056萬元
1a2x6bihks,廣達集團_雲達科技股份有限公司,電腦軟體服務業,軟體及網路相關-電腦系統整合服務業、電腦軟體服務業,暫不提供,4億7200萬元
1a2x6bj8ek,博謙生技股份有限公司,藥品製造業,藥品製造,150人,3億
dbgbm34,環鴻科技股份有限公司,消費性電子產品製造業,消費性電子產品製造業,19000人,107億
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
539qvs8,台灣三菱電梯股份有限公司,其他機械製造修配業,電機電工器材相關業,1800人,22億1500萬元
